OBJECTID,CTYUA21CD,CTYUA21NM,CTYUA21NMW,BNG_E,BNG_N,LONG,LAT,GlobalID,SHAPE_Length,SHAPE_Area
171,S12000017,Highland, ,241018,858292,-4.6610298,57.586571,{825D22C6-2F75-4C11-8228-25B66619435A},5228313.52755521,26158744575.5182
172,S12000018,Inverclyde, ,227922,670894,-4.75387,55.900299,{E6A9EF5B-9270-4FFB-93D2-DA330902CF8C},79292.1188586133,161948856.608221
173,S12000019,Midlothian, ,330088,659217,-3.1173799,55.82111,{EA96D7BD-93DA-404F-A172-C54723F97EA7},126470.990462398,355271578.326523
174,S12000020,Moray, ,328015,843590,-3.2020199,57.476799,{F4CE2FBB-65D6-47C0-9BC0-2432D811B771},463278.21810875,2237554237.4717
175,S12000021,North Ayrshire, ,228996,651640,-4.7245998,55.72789,{797B42C9-81B9-46D0-8106-540C11DD97C1},350167.481325773,885284942.954869
176,S12000023,Orkney Islands, ,348293,1006584,-2.90025,58.94334,{19DBFFB0-4A92-4722-B208-8160CE5F3327},1203117.00914491,1015036193.374
177,S12000026,Scottish Borders, ,345889,626137,-2.85869,55.525951,{62344082-A741-4B2C-A437-231AF163C498},514330.561763588,4739167854.45028
178,S12000027,Shetland Islands, ,434516,1180307,-1.37344,60.504951,{88185B49-3E34-4B47-90B7-1072CDF8C04A},2321876.1601024,1468514416.84475
179,S12000028,South Ayrshire, ,226545,596271,-4.7289901,55.23008,{07733E45-A3B0-41B3-9ABC-7A3F8E5998D4},334722.079696844,1224369285.16605
180,S12000029,South Lanarkshire, ,284634,636071,-3.83272,55.60453,{5466EF70-E914-473F-BB6E-3C6C06BDBCF8},284527.322494954,1773897195.3437
181,S12000030,Stirling, ,255980,708769,-4.3259501,56.249531,{24270AD4-93E9-4CC9-B86B-5D4CBCE87E0C},374946.182274352,2252533429.02213
182,S12000033,Aberdeen City, ,387763,808479,-2.20398,57.166969,{5486AE69-2866-47F5-A649-0C7C2841C0FE},123490.692834601,185566198.962722
